step,train_mean_reward,full_valid_mean_reward,full_valid_mean_parse_error,completion_tokens_mean,mean_unresponsive_rewards,usage/samples/train_reasoning_tokens_mean,usage/samples/valid_reasoning_tokens_mean,usage/samples/train_reasoning_tokens_count,usage/samples/valid_reasoning_tokens_count,sampling_duration,training_duration,eval_duration,total_duration,reasoning_tokens_mean,errors/graders/python/grader-3f2047aa7052/errors/train_sample_parse_error_mean,errors/graders/python/grader-3f2047aa7052/errors/train_sample_parse_error_count,errors/graders/python/grader-3f2047aa7052/errors/train_invalid_variable_error_mean,errors/graders/python/grader-3f2047aa7052/errors/train_invalid_variable_error_count,errors/graders/python/grader-3f2047aa7052/errors/train_other_error_mean,errors/graders/python/grader-3f2047aa7052/errors/train_other_error_count,errors/graders/python/grader-3f2047aa7052/errors/valid_sample_parse_error_mean,errors/graders/python/grader-3f2047aa7052/errors/valid_sample_parse_error_count,errors/graders/python/grader-3f2047aa7052/errors/valid_invalid_variable_error_mean,errors/graders/python/grader-3f2047aa7052/errors/valid_invalid_variable_error_count,errors/graders/python/grader-3f2047aa7052/errors/valid_other_error_mean,errors/graders/python/grader-3f2047aa7052/errors/valid_other_error_count,scores/graders/python/grader-3f2047aa7052/train_reward_mean,scores/graders/python/grader-3f2047aa7052/valid_reward_mean,timing/graders/python/grader-3f2047aa7052/timing/train_execution_latency_mean,timing/graders/python/grader-3f2047aa7052/timing/train_execution_latency_count,timing/graders/python/grader-3f2047aa7052/timing/valid_execution_latency_mean,timing/graders/python/grader-3f2047aa7052/timing/valid_execution_latency_count,train_tool_calls_to_get_order,train_token_usage_mean_get_order,train_latency_get_order,train_error_count_get_order,valid_tool_calls_to_get_order,valid_token_usage_mean_get_order,valid_latency_get_order,valid_error_count_get_order,timestamp
11,0.6818823529411765,,,498.2365805168986,0,364.72669491525426,,1416,,198.90568828582764,144.1676435470581,0.00012111663818359375,144.91209053993225,364.72669491525426,0,713,0,713,0,713,,,,,,,0.8045441795231415,,6.533613140753576,713,,,744,309.7016129032258,0.37449298750969673,0.04737516005121639,,,,,2026-05-29T05:37:28.6840000Z
12,0.6713071895424837,,,468.53319209039546,0,323.31642857142856,,1400,,183.60370659828186,123.890615940094,8.535385131835938E-05,124.26845169067383,323.31642857142856,0,688,0,688,0,688,,,,,,,0.8583575581395348,,6.357070453984793,688,,,651,341.3763440860215,0.3865336719928982,0.08823529411764706,,,,,2026-05-29T05:41:11.0120000Z
13,0.5715764705882352,,,529.3856942496494,0,393.0726495726496,,1404,,191.3270993232727,133.9669942855835,0.00010633468627929688,134.92289304733276,393.0726495726496,0,670,0,670,0,670,,,,,,,0.7944119402985074,,6.159027663273598,670,,,650,363.5753846153846,0.6541241605465229,0.1095890410958904,,,,,2026-05-29T05:45:02.3660000Z
14,0.5832392156862745,,,511.46169088507264,0,370.8948843728101,,1427,,215.01453375816345,153.34851622581482,0.00010895729064941406,154.22832250595093,370.8948843728101,0,685,0,685,0,685,,,,,,,0.7681430656934306,,6.286139342384617,685,,,749,388.41255006675567,0.3849117001481305,0.08547008547008547,,,,,2026-05-29T05:49:24.6450000Z
15,0.5250745098039216,0.6921543859649123,,421.669450243563,0,301.87473309608544,,1405,,187.3745150566101,121.59519720077515,314.86339807510376,437.24532294273376,301.87473309608544,0,682,0,682,0,682,0,570,0,570,0,570,0.7106774193548387,0.6921543859649123,6.331744554455329,682,48.7191983135123,570,672,409.89285714285717,0.5920567505416416,0.08695652173913043,504,397.6488095238095,0.38547913990323507,0.19488817891373802,2026-05-29T05:58:22.1550000Z
16,0.749807843137255,,,523.6218771100607,0,372.55890410958904,,1460,,190.20758366584778,142.35070371627808,9.393692016601562E-05,143.29505228996277,372.55890410958904,0,727,0,727,0,727,,,,,,,0.8412696011004127,,6.731234285165716,727,,,716,380.7276536312849,0.3869873355220816,0.03504043126684636,,,,,2026-05-29T06:02:40.9180000Z
17,0.7539241830065359,,,562.5835037491479,0,410.9924137931034,,1450,,213.5475630760193,151.56301307678223,0.00010633468627929688,152.4058961868286,410.9924137931034,0,717,0,717,0,717,,,,,,,0.8713417015341701,,6.604381984580344,717,,,702,428.53418803418805,0.43753555425551544,0.04229195088676671,,,,,2026-05-29T06:07:05.8130000Z
18,0.719721568627451,,,515.0202292650034,0,367.15132924335376,,1467,,202.54201197624207,150.2545199394226,8.797645568847656E-05,150.7709460258484,367.15132924335376,0,729,0,729,0,729,,,,,,,0.8046460905349794,,6.695204680839193,729,,,718,443.62674094707523,0.8832840305184919,0.03234501347708895,,,,,2026-05-29T06:11:18.3970000Z
19,0.7348692810457516,,,532.4884353741496,0,375.2357779300891,,1459,,194.58521580696106,141.74215626716614,9.298324584960938E-05,144.90817666053772,375.2357779300891,0,718,0,718,0,718,,,,,,,0.8484331476323119,,6.596828695459286,718,,,705,356.8822695035461,0.44509459556417263,0.048582995951417005,,,,,2026-05-29T06:15:21.1470000Z
20,0.6591529411764706,0.7530631578947368,,517.7088444157521,0,382.6060606060606,,1452,,203.25448346138,153.8271942138672,325.54806184768677,479.9373083114624,382.6060606060606,0,710,0,710,0,710,0,570,0,570,0,570,0.7876788732394365,0.7530631578947368,6.496139510584549,710,50.96687796157703,570,774,325.2700258397933,0.386156285764019,0.04562268803945746,533,395.9756097560976,0.3831532824553871,0.12479474548440066,2026-05-29T06:25:08.5220000Z
21,0.8047111111111112,,,551.133152173913,0,396.75634866163347,,1457,,217.0062050819397,143.23382425308228,0.00011205673217773438,143.70992040634155,396.75634866163347,0,721,0,721,0,721,,,,,,,0.9148460471567268,,6.682827310654724,721,,,707,376.26308345120225,0.4745056855122136,0.03940217391304348,,,,,2026-05-29T06:29:43.0660000Z
22,0.7442862745098039,,,525.2017603249831,0,371.9356605065024,,1461,,202.38091564178467,149.02314615249634,0.00012612342834472656,149.53715109825134,371.9356605065024,0,719,0,719,0,719,,,,,,,0.8558817802503476,,6.5639448421223605,719,,,712,373.0519662921348,0.3936866397938032,0.04043126684636118,,,,,2026-05-29T06:33:54.4210000Z
23,0.7623032679738563,,,511.9459824442944,0,339.421768707483,,1470,,224.97720551490784,146.24151921272278,0.00010061264038085938,146.68206787109375,339.421768707483,0,719,0,719,0,719,,,,,,,0.8750514603616132,,6.623441652727724,719,,,716,429.6801675977654,0.48760101115903376,0.04660452729693742,,,,,2026-05-29T06:38:14.1180000Z
24,0.7482745098039216,,,536.8764426340801,0,372.4124914207275,,1457,,213.13922548294067,146.37071776390076,0.0001220703125,146.98878598213196,372.4124914207275,0,711,0,711,0,711,,,,,,,0.8810548523206752,,6.517143991593738,711,,,707,359.3394625176803,0.5482877103408964,0.05100671140939597,,,,,2026-05-29T06:42:33.5620000Z
25,0.6698562091503267,0.5486719298245613,,470.42636180228646,0,328.4904891304348,,1472,,195.49106574058533,143.29902935028076,316.05425477027893,459.9540205001831,328.4904891304348,0,726,0,726,0,726,0,570,0,570,0,570,0.7595592286501378,0.5486719298245613,6.728989639558082,726,45.42719700880218,570,722,409.54709141274236,0.6194262253610712,0.03861517976031957,537,396.8100558659218,0.3776563017505951,0.11532125205930807,2026-05-29T06:51:52.9640000Z
26,0.7338300653594771,,,510.4057486631016,0,354.49966284558326,,1483,,178.88761854171753,142.866229057312,0.00010037422180175781,143.40511751174927,354.49966284558326,0,729,0,729,0,729,,,,,,,0.8194513031550068,,6.70206328380255,729,,,731,374.4404924760602,0.5949256058104551,0.03050397877984085,,,,,2026-05-29T06:56:06.3070000Z
27,0.7737555555555555,,,516.5960890087661,0,361.7083333333333,,1464,,223.6128227710724,147.73391389846802,9.465217590332031E-05,148.36631774902344,361.7083333333333,0,714,0,714,0,714,,,,,,,0.900452380952381,,6.539052640356603,714,,,718,429.22562674094706,0.4317451121083209,0.042666666666666665,,,,,2026-05-29T07:00:27.0670000Z
28,0.7945084967320262,,,481.7277556440903,0,320.91188251001336,,1498,,201.06789803504944,140.91799426078796,9.34600830078125E-05,141.46362042427063,320.91188251001336,0,741,0,741,0,741,,,,,,,0.8526302294197031,,6.800660921977117,741,,,741,389.5964912280702,0.5862370859756161,0.021136063408190225,,,,,2026-05-29T07:04:29.7290000Z
29,0.653483660130719,,,532.8529411764706,0,380.2394557823129,,1470,,216.23858070373535,155.31265997886658,9.393692016601562E-05,155.78304028511047,380.2394557823129,0,715,0,715,0,715,,,,,,,0.769111888111888,,6.638598530776017,715,,,799,308.0675844806008,0.4064472267714251,0.04540023894862605,,,,,2026-05-29T07:08:59.3930000Z
30,0.793670588235294,0.7662684210526316,,571.6774193548387,0,381.0972316002701,,1481,,194.78546023368835,149.23096704483032,324.3421685695648,474.27540254592896,381.0972316002701,0,719,0,719,0,719,0,570,0,570,0,570,0.9084255910987481,0.7662684210526316,6.673653874510021,719,48.6358797730061,570,722,414.37257617728534,0.5503093298122163,0.05249343832020997,533,396.4015009380863,0.3864906272566117,0.1276595744680851,2026-05-29T07:18:31.8680000Z
31,0.6497398692810458,,,469.16201497617425,0,314.8873626373626,,1456,,172.0232594013214,132.47743725776672,9.393692016601562E-05,132.9745056629181,314.8873626373626,0,701,0,701,0,701,,,,,,,0.8003580599144079,,6.562697204815678,701,,,704,375.32954545454544,0.8164987215264277,0.06631299734748011,,,,,2026-05-29T07:22:29.6580000Z
32,0.8286928104575163,,,500.48398791540785,0,322.42838018741634,,1494,,212.3050503730774,173.0565061569214,2.6941299438476562E-05,173.43450164794922,322.42838018741634,0,729,0,729,0,729,,,,,,,0.9189986282578876,,6.759609103366344,729,,,890,394.6820224719101,0.7225266057453799,0.0262582056892779,,,,,2026-05-29T07:27:09.8830000Z
33,0.623602614379085,,,567.3487423521414,0,377.6008287292818,,1448,,195.61286282539368,142.60997915267944,9.131431579589844E-05,143.30823802947998,377.6008287292818,0,705,0,705,0,705,,,,,,,0.761781560283688,,6.502234232002961,705,,,706,393.94050991501416,0.8322723512946715,0.04979811574697174,,,,,2026-05-29T07:31:11.5180000Z
34,0.7760771241830067,,,491.1290322580645,0,321.0705084745763,,1475,,172.21606278419495,139.1403045654297,9.34600830078125E-05,139.54996538162231,321.0705084745763,0,717,0,717,0,717,,,,,,,0.8949776847977686,,6.7378756311648065,717,,,722,410.4072022160665,0.8648992416931321,0.04497354497354497,,,,,2026-05-29T07:35:03.3320000Z
35,0.785424836601307,0.6769824561403509,,484.90571049136787,0,325.2266042780749,,1496,,177.61521363258362,133.05248475074768,317.40271735191345,451.027791261673,325.2266042780749,0,740,0,740,0,740,0,570,0,570,0,570,0.8457432432432431,0.6769824561403509,6.788041672513292,740,48.71843716679958,570,740,335.31891891891894,0.9772361658714913,0.021164021164021163,539,394.79406307977735,0.3910838518160394,0.12641815235008103,2026-05-29T07:44:03.7460000Z
36,0.8221098039215686,,,441.734,0,287.35776731674514,,1487,,163.99514389038086,134.3615870475769,9.012222290039062E-05,134.9673192501068,287.35776731674514,0,738,0,738,0,738,,,,,,,0.8887723577235772,,7.180658790154186,738,,,734,363.6975476839237,0.8141122777065724,0.022636484687083888,,,,,2026-05-29T07:48:00.3410000Z
37,0.736562091503268,,,561.1132450331125,0,368.8221632382216,,1507,,193.0494282245636,146.39662981033325,0.00010037422180175781,147.5426070690155,368.8221632382216,0,746,0,746,0,746,,,,,,,0.7807908847184987,,6.870283906005982,746,,,745,376.3557046979866,0.9865581634060648,0.019736842105263157,,,,,2026-05-29T07:52:05.1180000Z
38,0.6848627450980391,,,555.718875502008,0,355.62373567093726,,1483,,193.45290184020996,145.09283304214478,8.606910705566406E-05,145.90298581123352,355.62373567093726,0,730,0,730,0,730,,,,,,,0.7656438356164381,,6.789838469191773,730,,,729,407.235939643347,0.8426229522061446,0.033156498673740056,,,,,2026-05-29T07:56:08.4780000Z
39,0.5859620915032681,,,464.5939902166317,0,284.59491884262525,,1417,,172.52768111228943,131.2662055492401,9.918212890625E-05,132.1920325756073,284.59491884262525,0,698,0,698,0,698,,,,,,,0.7381962750716332,,6.587232132695807,698,,,654,355.06727828746176,1.9611410839477446,0.08274894810659186,,,,,2026-05-29T07:59:53.4290000Z
40,0.7372692810457516,0.8201473684210526,,545.187460417986,0,349.81434316353887,,1492,,211.96370148658752,152.444016456604,326.1204209327698,479.1626543998718,349.81434316353887,0,730,0,730,0,730,0,570,0,570,0,570,0.82056301369863,0.8201473684210526,6.8397420883178714,730,50.080649360857514,570,814,367.2800982800983,1.5335166753070653,0.03440094899169632,545,394.5467889908257,0.4071032633475207,0.09917355371900827,2026-05-29T08:09:39.3340000Z
41,0.7794928104575164,,,531.2265677680377,0,315.4422554347826,,1472,,179.60722970962524,135.28021574020386,8.845329284667969E-05,135.69594955444336,315.4422554347826,0,714,0,714,0,714,,,,,,,0.9065994397759104,,7.768645641516571,714,,,718,378.73955431754877,1.6566302992175217,0.052770448548812667,,,,,2026-05-29T08:13:44.8120000Z
42,0.8627529411764707,,,514.5471220746363,0,312.3239625167336,,1494,,184.47890782356262,156.67847633361816,9.632110595703125E-05,157.10168623924255,312.3239625167336,0,735,0,735,0,735,,,,,,,0.9387836734693877,,6.860951201769771,735,,,816,383.52450980392155,1.351282730406406,0.025089605734767026,,,,,2026-05-29T08:17:56.2710000Z
43,0.6982588235294118,,,484.4670292318151,0,301.52868852459017,,1464,,178.3804759979248,135.1105682849884,8.821487426757812E-05,136.13346076011658,301.52868852459017,0,704,0,704,0,704,,,,,,,0.8454090909090909,,6.6190784983336926,704,,,706,375.9759206798867,1.6861366253061267,0.07227332457293036,,,,,2026-05-29T08:21:42.0070000Z
44,0.786437908496732,,,571.5036496350365,0,360.7701532311792,,1501,,191.69821763038635,143.41098642349243,9.655952453613281E-05,143.93246841430664,360.7701532311792,0,743,0,743,0,743,,,,,,,0.8393337819650067,,6.891305434431073,743,,,742,358.8194070080863,1.153115656819305,0.021108179419525065,,,,,2026-05-29T08:25:47.5680000Z
45,0.8771372549019608,0.8133245614035087,,531.3177881412391,0,308.1843687374749,,1497,,183.7111155986786,145.62940788269043,322.6988866329193,468.92540287971497,308.1843687374749,0,737,0,737,0,737,0,570,0,570,0,570,0.9484531886024423,0.8133245614035087,6.834583346523456,737,52.95544495498925,570,736,408.0692934782609,1.6305176207552785,0.030303030303030304,549,395.7431693989071,0.3880649920152619,0.09256198347107437,2026-05-29T08:35:08.8960000Z
46,0.7950810457516341,,,546.7354497354497,0,332.00333778371163,,1498,,187.79093098640442,147.67780423164368,8.940696716308594E-05,148.12659335136414,332.00333778371163,0,739,0,739,0,739,,,,,,,0.858236806495264,,6.92914632563662,739,,,747,307.82864792503347,1.438194074783938,0.018396846254927726,,,,,2026-05-29T08:39:31.0340000Z
47,0.7721568627450981,,,544.6564986737401,0,320.2,,1500,,189.78240752220154,143.44982647895813,9.298324584960938E-05,144.44217205047607,320.2,0,741,0,741,0,741,,,,,,,0.8295546558704454,,7.00869111686583,741,,,743,374.6554508748318,1.4056525037875889,0.021080368906455864,,,,,2026-05-29T08:43:31.1900000Z
48,0.7906575163398692,,,600.8940731399748,0,360.7486666666667,,1500,,206.9337272644043,163.1986539363861,9.369850158691406E-05,163.83802700042725,360.7486666666667,0,739,0,739,0,739,,,,,,,0.8536576454668469,,6.86922880632145,739,,,821,370.1705237515225,1.1593529312677417,0.021454112038140644,,,,,2026-05-29T08:47:59.1710000Z
49,0.7856509803921568,,,471.00063251106894,0,268.7803895231699,,1489,,188.2923607826233,147.23155236244202,8.535385131835938E-05,147.99963331222534,268.7803895231699,0,731,0,731,0,731,,,,,,,0.868704514363885,,6.770103736060752,731,,,816,294.36642156862746,1.7285567513283562,0.030878859857482184,,,,,2026-05-29T08:52:07.4780000Z
50,0.850202614379085,0.8401754385964912,,498.58894070619584,0,278.7384923282188,,1499,,178.69112515449524,139.21615362167358,340.5969822406769,480.24262404441833,278.7384923282188,0,736,0,736,0,736,0,570,0,570,0,570,0.9231046195652174,0.8401754385964912,6.9148673356875126,736,48.6976764239763,570,736,359.9361413043478,1.6504642503417057,0.035386631716906945,555,397.2036036036036,0.4110925326476226,0.07653910149750416,2026-05-29T09:01:37.7370000Z
51,0.7535686274509804,,,540.7095687331537,0,322.1782579338285,,1481,,188.2032401561737,143.75795364379883,0.0001049041748046875,144.70980620384216,322.1782579338285,0,718,0,718,0,718,,,,,,,0.8683565459610028,,6.632375068983328,718,,,719,364.3880389429764,1.4086117618438763,0.057667103538663174,,,,,2026-05-29T09:05:57.9050000Z
52,0.7439738562091501,,,572.1359026369169,0,335.2603670972128,,1471,,198.4801847934723,146.00461316108704,0.00010943412780761719,146.93397760391235,335.2603670972128,0,711,0,711,0,711,,,,,,,0.8764275668073136,,6.699653025920884,711,,,714,396.718487394958,1.5075848272868566,0.060526315789473685,,,,,2026-05-29T09:10:04.6190000Z
53,0.6833986928104576,,,524.2607028753994,0,299.17910447761193,,1474,,189.30318117141724,156.99459266662598,8.845329284667969E-05,157.85633373260498,299.17910447761193,0,715,0,715,0,715,,,,,,,0.8011188811188811,,6.673223958649002,715,,,800,384.395,1.1646666765213012,0.051008303677342826,,,,,2026-05-29T09:14:17.6460000Z
54,0.8309542483660132,,,591.1683233929755,0,360.6553333333333,,1500,,204.84993839263916,156.5760042667389,9.083747863769531E-05,157.01879119873047,360.6553333333333,0,740,0,740,0,740,,,,,,,0.8928108108108109,,6.828948727491739,740,,,744,380.51747311827955,0.7067051924044087,0.023622047244094488,,,,,2026-05-29T09:18:43.1280000Z
55,0.9053372549019607,0.8335631578947368,,650.9465346534654,0,407.6254953764861,,1514,,195.0220651626587,159.4626657962799,364.4329369068146,524.406388759613,407.6254953764861,0,752,0,752,0,752,0,570,0,570,0,570,0.9382752659574468,0.8335631578947368,6.9725116513510965,752,49.17277798527166,570,750,430.37733333333335,0.9068930301666259,0.015748031496062992,555,399.5693693693694,0.3859482378573031,0.07653910149750416,2026-05-29T09:29:05.7210000Z
56,0.8048039215686273,,,634.2803180914512,0,375.28305647840534,,1505,,204.4331500530243,163.86811518669128,0.00010037422180175781,164.80217361450195,375.28305647840534,0,742,0,742,0,742,,,,,,,0.8607479784366576,,6.824067148879532,742,,,744,443.7486559139785,0.875137932198022,0.02490170380078637,,,,,2026-05-29T09:33:51.7310000Z
57,0.9111202614379086,,,601.5959129861569,0,356.5298013245033,,1510,,199.32404565811157,154.58330392837524,8.845329284667969E-05,155.04044461250305,356.5298013245033,0,747,0,747,0,747,,,,,,,0.9571713520749666,,6.93051406944612,747,,,752,359.04787234042556,0.7413713193320214,0.014416775884665793,,,,,2026-05-29T09:38:07.0900000Z
58,0.7439385620915033,,,664.8411801632141,0,418.45122760451227,,1507,,218.0776505470276,172.3967089653015,9.822845458984375E-05,172.88065361976624,418.45122760451227,0,742,0,742,0,742,,,,,,,0.7979959568733155,,6.860535973165877,742,,,828,328.20531400966183,0.5880247567586853,0.020118343195266272,,,,,2026-05-29T09:42:49.5790000Z
59,0.8676601307189542,,,658.0252324037184,0,405.79466666666667,,1500,,197.06583666801453,154.37477087974548,0.0001251697540283203,154.87070846557617,405.79466666666667,0,738,0,738,0,738,,,,,,,0.9359891598915989,,6.789350277363123,738,,,741,376.4021592442645,0.8722706375173551,0.027559055118110236,,,,,2026-05-29T09:47:08.9690000Z
60,0.8378862745098039,0.835898245614035,,674.7220383851753,0,417.75099601593627,,1506,,208.9009349346161,166.46029925346375,372.7399203777313,539.6325767040253,417.75099601593627,0,744,0,744,0,744,0,570,0,570,0,570,0.8897620967741935,0.835898245614035,6.895277476438912,744,49.05709653946391,570,746,393.7882037533512,1.133469788382584,0.02099737532808399,550,397.82545454545453,0.39341690106825394,0.09836065573770492,2026-05-29T09:57:53.8390000Z
61,0.9108888888888887,,,649.5663366336634,0,381.12367724867727,,1512,,202.11086678504944,163.80967783927917,8.7738037109375E-05,164.63847303390503,381.12367724867727,0,747,0,747,0,747,,,,,,,0.9569344042838018,,6.9050363661294965,747,,,750,410.568,0.7357998914718628,0.01832460732984293,,,,,2026-05-29T10:02:39.3300000Z
62,0.8642601307189541,,,689.8099337748345,0,421.2617940199336,,1505,,223.33277106285095,161.64260745048523,0.00010609626770019531,162.2156114578247,421.2617940199336,0,743,0,743,0,743,,,,,,,0.9194602960969044,,6.858154785905841,743,,,745,376.496644295302,0.5833442422367583,0.02230971128608924,,,,,2026-05-29T10:07:14.0330000Z
63,0.7377843137254901,,,623.6595174262735,0,377.15846257585974,,1483,,211.0701425075531,152.90432929992676,9.5367431640625E-05,153.5351803302765,377.15846257585974,0,723,0,723,0,723,,,,,,,0.8387344398340248,,6.729862901020182,723,,,727,393.707015130674,0.597200128038451,0.045931758530183726,,,,,2026-05-29T10:11:33.7720000Z
64,0.8204431372549021,,,585.0818363273453,0,350.4279007377599,,1491,,215.862238407135,148.14329075813293,8.797645568847656E-05,149.34416127204895,350.4279007377599,0,729,0,729,0,729,,,,,,,0.9103415637860084,,6.72718534875145,729,,,738,370.30623306233065,1.094529784145717,0.030223390275952694,,,,,2026-05-29T10:15:56.7860000Z
65,0.7719254901960785,0.6291315789473685,,625.6362425049966,0,383.0696584058942,,1493,,220.34754490852356,159.56158709526062,369.12185525894165,529.5365467071533,383.0696584058942,0,732,0,732,0,732,0,570,0,570,0,570,0.8518073770491802,0.6291315789473685,6.722000430841915,732,47.09401898174955,570,736,429.0326086956522,0.7299765695048415,0.0328515111695138,540,397.6777777777778,0.39156744789194176,0.1262135922330097,2026-05-29T10:26:37.1490000Z
66,0.8624705882352941,,,632.0066711140761,0,385.80764075067026,,1492,,207.3323254585266,155.52429008483887,9.012222290039062E-05,156.4970109462738,385.80764075067026,0,733,0,733,0,733,,,,,,,0.9437789904502046,,6.706059780159881,733,,,734,392.82288828337875,0.4725604492572088,0.034210526315789476,,,,,2026-05-29T10:31:18.1900000Z
67,0.7103555555555556,,,594.8650190114068,0,372.8845897264843,,1499,,236.3894476890564,163.0036563873291,9.965896606445312E-05,163.47305917739868,372.8845897264843,0,733,0,733,0,733,,,,,,,0.7850231923601637,,6.751786177024997,733,,,813,322.3530135301353,0.8871291325980887,0.03558718861209965,,,,,2026-05-29T10:36:03.9100000Z
68,0.7966156862745098,,,651.9631120053655,0,395.4640215198386,,1487,,225.46870112419128,155.0776183605194,8.916854858398438E-05,156.3039734363556,395.4640215198386,0,725,0,725,0,725,,,,,,,0.8957393103448277,,6.672227832531107,725,,,726,394.2906336088154,0.7547329762750421,0.047244094488188976,,,,,2026-05-29T10:40:33.4630000Z
