step,train_mean_reward,full_valid_mean_reward,full_valid_mean_parse_error,completion_tokens_mean,mean_unresponsive_rewards,usage/samples/train_reasoning_tokens_mean,usage/samples/valid_reasoning_tokens_mean,usage/samples/train_reasoning_tokens_count,usage/samples/valid_reasoning_tokens_count,sampling_duration,training_duration,eval_duration,total_duration,reasoning_tokens_mean,errors/graders/python/grader-e0045157892e/errors/train_sample_parse_error_mean,errors/graders/python/grader-e0045157892e/errors/train_sample_parse_error_count,errors/graders/python/grader-e0045157892e/errors/train_invalid_variable_error_mean,errors/graders/python/grader-e0045157892e/errors/train_invalid_variable_error_count,errors/graders/python/grader-e0045157892e/errors/train_other_error_mean,errors/graders/python/grader-e0045157892e/errors/train_other_error_count,errors/graders/python/grader-e0045157892e/errors/valid_sample_parse_error_mean,errors/graders/python/grader-e0045157892e/errors/valid_sample_parse_error_count,errors/graders/python/grader-e0045157892e/errors/valid_invalid_variable_error_mean,errors/graders/python/grader-e0045157892e/errors/valid_invalid_variable_error_count,errors/graders/python/grader-e0045157892e/errors/valid_other_error_mean,errors/graders/python/grader-e0045157892e/errors/valid_other_error_count,scores/graders/python/grader-e0045157892e/train_reward_mean,scores/graders/python/grader-e0045157892e/valid_reward_mean,timing/graders/python/grader-e0045157892e/timing/train_execution_latency_mean,timing/graders/python/grader-e0045157892e/timing/train_execution_latency_count,timing/graders/python/grader-e0045157892e/timing/valid_execution_latency_mean,timing/graders/python/grader-e0045157892e/timing/valid_execution_latency_count,train_tool_calls_to_get_order,train_token_usage_mean_get_order,train_latency_get_order,train_error_count_get_order,valid_tool_calls_to_get_order,valid_token_usage_mean_get_order,valid_latency_get_order,valid_error_count_get_order,timestamp
13,0.7667122395833333,,,643.6546811397558,0,467.4434544208362,,1459,,96.66660332679749,133.0323441028595,7.534027099609375E-05,230.58346271514893,467.4434544208362,0,715,0,715,0,715,,,,,,,0.8976713286713287,,14.805974457814143,715,,,706,386.828611898017,5.322063347097835,0.04594594594594595,,,,,2026-04-17T16:27:34.7160000Z
14,0.8103854166666666,,,634.0168690958164,0,448.4794801641587,,1462,,115.42631101608276,134.29475593566895,7.915496826171875E-05,250.37613773345947,448.4794801641587,0,714,0,714,0,714,,,,,,,0.9473053221288515,,14.536374848095976,714,,,714,424.39915966386553,7.216749040018611,0.04289544235924933,,,,,2026-04-17T16:31:45.3510000Z
15,0.7944166666666667,0.7284066666666666,,532.7691256830601,0,381.7396978021978,,1456,,88.66274070739746,122.48207998275757,98.26565718650818,310.0283453464508,381.7396978021978,0,700,0,700,0,700,0,150,0,150,0,150,0.9687314285714286,0.7284066666666666,14.35641332932881,700,12.700227729479472,150,696,387.2715517241379,7.353327434981006,0.06827309236947791,143,380.02097902097904,0.10866236186527706,0.06535947712418301,2026-04-17T16:37:01.0650000Z
16,0.7180104166666667,,,460.8536585365854,0,325.86771761480463,,1459,,80.27816104888916,109.01483058929443,7.724761962890625E-05,190.48358488082886,325.86771761480463,0,705,0,705,0,705,,,,,,,0.8715347517730496,,14.37302450829364,705,,,708,419.95762711864404,9.023052005444542,0.05473965287049399,,,,,2026-04-17T16:40:31.3810000Z
17,0.7821888020833332,,,591.7161159811194,0,409.07464694014794,,1487,,92.05783891677856,129.81478667259216,7.772445678710938E-05,222.7680537700653,409.07464694014794,0,716,0,716,0,716,,,,,,,0.9116215083798883,,14.681921924625694,716,,,715,464.5146853146853,6.861856781686103,0.05172413793103448,,,,,2026-04-17T16:44:14.4540000Z
18,0.8258671875000001,,,567.7840375586854,0,412.690188172043,,1488,,84.13077354431152,130.53438186645508,7.867813110351562E-05,215.3777904510498,412.690188172043,0,722,0,722,0,722,,,,,,,0.9421966759002771,,14.932057822840365,722,,,722,427.4612188365651,7.482221546925996,0.042440318302387266,,,,,2026-04-17T16:47:55.4210000Z
19,0.7398658854166665,,,474.96531020680453,0,350.8806170355466,,1491,,78.98511409759521,121.31713342666626,7.390975952148438E-05,200.9522521495819,350.8806170355466,0,732,0,732,0,732,,,,,,,0.8254330601092896,,15.653220888369722,732,,,731,419.55403556771546,8.317213011505503,0.031788079470198675,,,,,2026-04-17T16:51:16.8440000Z
20,0.71999609375,0.7547333333333331,,612.2919171676687,0,449.3455637091394,,1499,,87.5995728969574,131.39613270759583,100.56107139587402,320.4496765136719,449.3455637091394,0,730,0,730,0,730,0,150,0,150,0,150,0.8095301369863014,0.7547333333333331,15.153598158980069,730,12.610178427696228,150,729,303.98902606310014,7.393828535603234,0.03825857519788918,148,377.30405405405406,0.12545481243649045,0.013333333333333334,2026-04-17T16:56:37.5600000Z
21,0.7665794270833333,,,544.2309782608696,0,395.96860068259383,,1465,,88.5300190448761,126.30414724349976,7.677078247070312E-05,215.72487139701843,395.96860068259383,0,705,0,705,0,705,,,,,,,0.9244439716312056,,14.796031481492603,705,,,704,425.9786931818182,6.354705016721379,0.07001321003963012,,,,,2026-04-17T17:00:31.9160000Z
22,0.7457682291666666,,,587.4663526244952,0,435.4834347532116,,1479,,91.2674720287323,130.37857055664062,8.463859558105469E-05,222.06285309791565,435.4834347532116,0,717,0,717,0,717,,,,,,,0.8699442119944211,,14.728836453276864,717,,,718,386.09470752089135,7.1256725223615645,0.052770448548812667,,,,,2026-04-17T17:04:14.2640000Z
23,0.7987369791666667,,,600.1804054054054,0,434.865306122449,,1470,,93.6382520198822,126.00948691368103,7.557868957519531E-05,220.1012487411499,434.865306122449,0,710,0,710,0,710,,,,,,,0.9456760563380282,,14.607750108544256,710,,,712,346.75,7.416760628143053,0.061923583662714096,,,,,2026-04-17T17:07:54.6350000Z
24,0.7258281249999999,,,462.16924110141036,0,331.1799191374663,,1484,,84.76227641105652,121.75276350975037,7.414817810058594E-05,207.28538513183594,331.1799191374663,0,719,0,719,0,719,,,,,,,0.843443671766342,,15.551389759870165,719,,,721,418.7115117891817,8.00676861715383,0.05504587155963303,,,,,2026-04-17T17:11:27.5630000Z
25,0.6265833333333334,0.7917599999999999,,596.2886529528865,0,436.1628838451268,,1498,,93.99878239631653,134.17235660552979,96.22511076927185,325.31378293037415,436.1628838451268,0,737,0,737,0,737,0,150,0,150,0,150,0.695001356852103,0.7917599999999999,15.033298108115124,737,12.872765545845033,150,739,386.0514208389716,6.479307416004805,0.030183727034120734,149,378.96644295302013,0.1355673386746605,0.013245033112582781,2026-04-17T17:16:53.3390000Z
26,0.7094466145833334,,,596.8185456971314,0,438.6708945260347,,1498,,87.24691772460938,127.26870083808899,7.653236389160156E-05,214.9382448196411,438.6708945260347,0,733,0,733,0,733,,,,,,,0.7910709413369714,,15.15830078977192,733,,,731,346.46785225718196,7.344942799671241,0.03942181340341656,,,,,2026-04-17T17:20:43.3880000Z
27,0.8115898437499999,,,496.72526737967917,0,335.40362659503023,,1489,,81.07966041564941,124.19257354736328,0.00010275840759277344,205.64488792419434,335.40362659503023,0,727,0,727,0,727,,,,,,,0.9137565337001374,,15.217896989811893,727,,,728,425.65934065934067,8.760293590170997,0.04461942257217848,,,,,2026-04-17T17:24:15.3640000Z
28,0.8299986979166668,,,624.6390728476821,0,435.1648936170213,,1504,,99.42311954498291,137.88479471206665,8.916854858398438E-05,238.0467767715454,435.1648936170213,0,739,0,739,0,739,,,,,,,0.901811907983762,,15.166651175373785,739,,,742,386.43935309973045,5.381768744910824,0.027522935779816515,,,,,2026-04-17T17:28:13.6740000Z
29,0.8451119791666667,,,597.8403473613895,0,411.8897108271688,,1487,,88.99718070030212,139.60852932929993,0.00010037422180175781,229.63270330429077,411.8897108271688,0,724,0,724,0,724,,,,,,,0.957245856353591,,15.216945074539817,724,,,729,424.3374485596708,6.8131579119809205,0.04204993429697766,,,,,2026-04-17T17:32:03.6030000Z
30,0.9091106770833334,0.7609866666666666,,497.4730897009967,0,341.21993355481726,,1505,,86.86199069023132,118.92448544502258,97.57034969329834,304.6156895160675,341.21993355481726,0,739,0,739,0,739,0,150,0,150,0,150,0.9840284167794319,0.7609866666666666,15.962797710150278,739,12.983678828875224,150,737,387,7.8096335937080745,0.036601307189542485,137,383.48175182481754,0.19521358587446003,0.14906832298136646,2026-04-17T17:37:15.7830000Z
